repo,Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
OWASP/www-chapter-chandigarh,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-iran,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-islamabad,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-kerala,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,✔,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-mumbai,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-pune,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-riyadh,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-coimbatore,,,,,,,,,✔,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-noida,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-vellore,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-nagpur,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-kumaun-region,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-east-sweden,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-cuttack,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-bristol-uk,,,,,,,,,✔,✔,,,,,,,✔,,✔,,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cluj,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,,✔,,,,
OWASP/www-chapter-malta,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-lithuania,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-canary-islands,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-armenia,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-suffolk,,,,,,,,,,✔,✔,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-germany,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,,✔,,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-birmingham-uk,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-belgium,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-cambridge,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-cyprus,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-aarhus,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-czech-republic,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-france,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-geneva,,,,,,,,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-gothenburg,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-greece,,,,,,,,,,✔,✔,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-helsinki,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-hungary,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-dublin,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-latvia,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-london,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,✔,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-leeds-uk,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-italy,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-oslo,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-luxembourg,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-manchester,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-netherlands,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-lviv,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-newcastle-uk,,,,,✔,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-poland,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-bucharest,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-scotland,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,✔,,,,✔,,,,,,,,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-ukraine,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-turkey,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-switzerland,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-umea,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-tbilisi,,,,,,,,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-ankara,,,,,,,,,✔,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-sevilla,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-timisoara,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-sofia,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-stockholm,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-kyiv,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cork,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-macedonia,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-odessa,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-madrid,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-belfast,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-cusco,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-dorset,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-zaragoza,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-oakland-county,,,,,✔,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,,,,,,,,,✔,,,,
OWASP/www-chapter-waterloo,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cartagena,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-letterkenny,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-zhytomyr,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-vienna-old,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,,✔,,,,
OWASP/www-chapter-almeria,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-biloxi-gulfport,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-central-pennsylvania,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-quito,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-sanaa,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-miami,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-warwick,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-manchester-nh,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-project-securityrat,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,✔,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-liverpool,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-doha,,,,,,,✔,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-vina-del-mar,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-san-fernando-valley,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-marquette,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-google-assistant,,,,,,✔,,,✔,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,,,,,✔,✔,,,
OWASP/IoTGoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-chapter-west-delhi,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-members,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-devslop,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,✔,,,,✔,,,✔,✔,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-mobile-top-10,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-securetea,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-columbia-sc,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-event-2020-GlobalAppSecDublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/AppSecEurope2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-chapter-amaravathi,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-event-gassf-old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-committee-wia,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-compliance,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-community,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-policy,,,,,,✔,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,✔,,,,
OWASP/www-project-honeypot,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-internet-of-things,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/CSRFGuard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-project-seeker,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/Seeker-Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-chapter-monterrey,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-portland-me,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-reading,,,,,,✔,,,,✔,,,,✔,,,✔,,✔,✔,,,,,,,✔,,,,,,,✔,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-colombo,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,,,,,,✔,✔,,,,
OWASP/SideKEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/.github,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-project-sidekek,,,,,,,,,✔,,,,,,,,✔,,,✔,✔,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/TimeGap-Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-project-integration-standards,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-hodor,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-timegap-theory,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-submodule-test,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-event-example,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,,,,
OWASP/www-chapter-moscow,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-belagavi,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-niamey,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-project-developer-guide,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-porto-alegre,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,✔,,,,,✔,✔,,,,
OWASP/www-event-2020-NewZealandDay,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-antisamy,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-csrfprotector,,,,,,,,,✔,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cyber-defense-matrix,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,✔,,,,✔,,,✔,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-harrisburg,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-fortaleza,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-des-moines,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-bonita-springs,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cuddalore,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-ahmedabad,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-san-jacinto-college,,,,,✔,,,,,✔,✔,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,✔,,✔,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-victoria,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-project-iot-security-verification-standard,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-paraiba,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-project-threat-modeling,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-sso,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-karachi,,,,,✔,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,✔,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/SSO_Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-chapter-malmo,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-canberra,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-bournemouth-university,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-florianopolis-old,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-somerset,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/IoT-Security-Verification-Standard-ISVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/www-chapter-iiit-sricity,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-project-thick-client-top-10,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-event-2020-GlobalAppSecSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,,,,
OWASP/www-event-2020-04-virtual,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,,,,
OWASP/www-committee-outreach,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,✔,,,,,,,,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-project-vulnerableapp,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-event-testtwo,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,,,,
OWASP/www-event-2020-latam-at-home,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,✔,,✔,✔,,,,,✔,✔,✔,,,
OWASP/www-project-automotive-emb-60,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-redteam-toolkit,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
